Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Protein,Genotype,Sample
2015-12-14_DB2-800.tiff,W,31,186000,264000,2376,33,Signal,CII-SDHB,Wild-Type,867
2015-12-14_DB2-800.tiff,W,32,269000,361000,2628,35,Signal,CII-SDHB,Wild-Type,1251
2015-12-14_DB2-800.tiff,W,33,168000,253000,3145,27,Signal,CII-SDHB,Wild-Type,1260
2015-12-14_DB2-800.tiff,W,34,118000,195000,2840,27,Signal,CII-SDHB,Wild-Type,1550
2015-12-14_DB2-800.tiff,W,35,174000,266000,3393,27,Signal,CII-SDHB,Wild-Type,811
2015-12-14_DB2-800.tiff,W,36,166000,249000,2660,31,Signal,CII-SDHB,Knockout,869
2015-12-14_DB2-800.tiff,W,37,157000,245000,2844,31,Signal,CII-SDHB,Knockout,1264
2015-12-14_DB2-800.tiff,W,38,174000,265000,2960,31,Signal,CII-SDHB,Knockout,1266
2015-12-14_DB2-800.tiff,W,39,127000,201000,2556,29,Signal,CII-SDHB,Knockout,1265
2015-12-14_DB2-800.tiff,W,40,228000,310000,2812,29,Signal,CII-SDHB,Knockout,1552
2015-12-14_DB2-800.tiff,W,41,72400,125000,2625,20,Signal,CI-NDUF88,Wild-Type,867
2015-12-14_DB2-800.tiff,W,42,80900,142000,2673,23,Signal,CI-NDUF88,Wild-Type,1251
2015-12-14_DB2-800.tiff,W,43,74300,142000,2937,23,Signal,CI-NDUF88,Wild-Type,1260
2015-12-14_DB2-800.tiff,W,44,47600,99500,2592,20,Signal,CI-NDUF88,Wild-Type,1550
2015-12-14_DB2-800.tiff,W,45,67800,150000,3567,23,Signal,CI-NDUF88,Wild-Type,811
2015-12-14_DB2-800.tiff,W,46,60100,135000,2988,25,Signal,CI-NDUF88,Knockout,869
2015-12-14_DB2-800.tiff,W,47,53500,118000,2800,23,Signal,CI-NDUF88,Knockout,1264
2015-12-14_DB2-800.tiff,W,48,72400,137000,2812,23,Signal,CI-NDUF88,Knockout,1266
2015-12-14_DB2-800.tiff,W,49,68300,133000,3239,20,Signal,CI-NDUF88,Knockout,1265
2015-12-14_DB2-800.tiff,W,50,110000,188000,3870,20,Signal,CI-NDUF88,Knockout,1552
2015-01-08_mTsc_Quads-700-CD36.tiff,W,1,68100,366000,1562,191,Signal,CD36,Wild-Type,867
2015-01-08_mTsc_Quads-700-CD36.tiff,W,2,465000,817000,1280,275,Signal,CD36,Wild-Type,1251
